Bonne r‚ponse,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Jean B‚liveau,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Henri Richard,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Le Canadien de Montr‚al,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Les Blackhawks de Chicago,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Les Stars de Dallas,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Connor McDavid,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Les Golden Knights de Las Vegas,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Blue Jackets de Columbus et le Wild du Minnesota,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Vincent Lecavalier,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
Marcel Dionne,Choix 1,Choix 2,Choix 3,Choix 4,Choix 5,Choix 6,Choix 7,Choix 8,Choix 9
